#,Company,Symbol,Weight,Price,Change,,,,,,,,,,,,,,,,,#
75,Bristol-Myers Squibb Company,BMY,0.297703,45.26,-0.11 (-0.24%),,,,,,,,,,,,,,,,,
76,Intuit Inc.,INTU,0.29268,283.77,0.00 (0.00%),,,,,,,,,,,,,,,,,
77,Automatic Data Processing Inc.,ADP,0.29148,169.27,0.00 (0.00%),,,,,,,,,,,,,,,,,
78,CME Group Inc. Class A,CME,0.289399,201.06,-0.01 (-0.00%),,,,,,,,,,,,,,,,,
79,CVS Health Corporation,CVS,0.288721,55.52,-0.02 (-0.04%),,,,,,,,,,,,,,,,,
80,Charter Communications Inc. Class A,CHTR,0.280513,398,-0.79 (-0.20%),,,,,,,,,,,,,,,,,
81,Chubb Limited,CB,0.277194,152.97,0.00 (0.00%),,,,,,,,,,,,,,,,,
82,Becton Dickinson and Company,BDX,0.274827,254.39,0.00 (0.00%),,,,,,,,,,,,,,,,,
83,TJX Companies Inc,TJX,0.267626,55.76,0.00 (0.00%),,,,,,,,,,,,,,,,,
84,ConocoPhillips,COP,0.267089,58.75,0.00 (0.00%),,,,,,,,,,,,,,,,,
85,Stryker Corporation,SYK,0.264016,214.45,0.00 (0.00%),,,,,,,,,,,,,,,,,
86,Celgene Corporation,CELG,0.260592,92.71,-0.05 (-0.05%),,,,,,,,,,,,,,,,,
87,PNC Financial Services Group Inc.,PNC,0.25475,142.8,0.00 (0.00%),,,,,,,,,,,,,,,,,
88,Cigna Corporation,CI,0.252459,167.3,0.00 (0.00%),,,,,,,,,,,,,,,,,
89,Duke Energy Corporation,DUK,0.252435,86.92,0.01 (0.01%),,,,,,,,,,,,,,,,,
90,Colgate-Palmolive Company,CL,0.247168,73.69,0.00 (0.00%),,,,,,,,,,,,,,,,,
91,Intuitive Surgical Inc.,ISRG,0.246062,527.59,-0.04 (-0.01%),,,,,,,,,,,,,,,,,
92,Northrop Grumman Corporation,NOC,0.241461,350.1,-2.42 (-0.69%),,,,,,,,,,,,,,,,,
93,Dominion Energy Inc,D,0.240787,75.15,0.00 (0.00%),,,,,,,,,,,,,,,,,
94,S&P Global Inc.,SPGI,0.240101,244.35,0.00 (0.00%),,,,,,,,,,,,,,,,,
95,Boston Scientific Corporation,BSX,0.234201,42.27,0.19 (0.45%),,,,,,,,,,,,,,,,,
96,Southern Company,SO,0.230988,55.73,-0.01 (-0.02%),,,,,,,,,,,,,,,,,
97,Morgan Stanley,MS,0.229974,45.74,0.00 (0.00%),,,,,,,,,,,,,,,,,
98,BlackRock Inc.,BLK,0.225993,478.17,0.00 (0.00%),,,,,,,,,,,,,,,,,
99,Schlumberger NV,SLB,0.22083,40.01,0.00 (0.00%),,,,,,,,,,,,,,,,,
100,DuPont de Nemours Inc.,DD,0.219237,73.21,0.00 (0.00%),,,,,,,,,,,,,,,,,
101,Zoetis Inc. Class A,ZTS,0.218922,115.11,0.00 (0.00%),,,,,,,,,,,,,,,,,
102,Raytheon Company,RTN,0.21632,189.25,-0.54 (-0.28%),,,,,,,,,,,,,,,,,
103,Crown Castle International Corp,CCI,0.215774,130.58,0.00 (0.00%),,,,,,,,,,,,,,,,,
104,General Motors Company,GM,0.215487,40.71,-0.06 (-0.15%),,,,,,,,,,,,,,,,,
105,CSX Corporation,CSX,0.214702,68.96,0.00 (0.00%),,,,,,,,,,,,,,,,,
106,Micron Technology Inc.,MU,0.213812,47.4,-0.09 (-0.19%),,,,,,,,,,,,,,,,,
107,Deere & Company,DE,0.211461,170.39,0.00 (0.00%),,,,,,,,,,,,,,,,,
108,Charles Schwab Corporation,SCHW,0.209012,44.05,0.00 (0.00%),,,,,,,,,,,,,,,,,
109,Marsh & McLennan Companies Inc.,MMC,0.208562,102.45,0.00 (0.00%),,,,,,,,,,,,,,,,,
110,Prologis Inc.,PLD,0.205963,82.47,0.36 (0.44%),,,,,,,,,,,,,,,,,
111,General Dynamics Corporation,GD,0.204228,189.73,0.00 (0.00%),,,,,,,,,,,,,,,,,
112,Intercontinental Exchange Inc.,ICE,0.202641,89.59,0.00 (0.00%),,,,,,,,,,,,,,,,,
113,Ecolab Inc.,ECL,0.201669,199.62,0.00 (0.00%),,,,,,,,,,,,,,,,,
114,Air Products and Chemicals Inc.,APD,0.200897,230.55,0.00 (0.00%),,,,,,,,,,,,,,,,,
115,Norfolk Southern Corporation,NSC,0.200027,189.99,0.00 (0.00%),,,,,,,,,,,,,,,,,
116,American International Group Inc.,AIG,0.199561,57.27,0.00 (0.00%),,,,,,,,,,,,,,,,,
117,EOG Resources Inc.,EOG,0.198838,84.29,0.00 (0.00%),,,,,,,,,,,,,,,,,
118,Allergan plc,AGN,0.197708,160.95,-0.03 (-0.02%),,,,,,,,,,,,,,,,,
119,Simon Property Group Inc.,SPG,0.195075,158.47,0.14 (0.09%),,,,,,,,,,,,,,,,,
120,Applied Materials Inc.,AMAT,0.192316,50.55,-0.19 (-0.37%),,,,,,,,,,,,,,,,,
121,MetLife Inc.,MET,0.191376,50.05,-0.64 (-1.26%),,,,,,,,,,,,,,,,,
122,Illinois Tool Works Inc.,ITW,0.190939,155.63,0.00 (0.00%),,,,,,,,,,,,,,,,,
123,Aon plc,AON,0.189795,194.56,0.00 (0.00%),,,,,,,,,,,,,,,,,
124,Progressive Corporation,PGR,0.18905,81.7,0.00 (0.00%),,,,,,,,,,,,,,,,,
125,Biogen Inc.,BIIB,0.186727,238.21,0.00 (0.00%),,,,,,,,,,,,,,,,,
126,Kimberly-Clark Corporation,KMB,0.186593,137.17,0.00 (0.00%),,,,,,,,,,,,,,,,,
127,Waste Management Inc.,WM,0.182808,118.45,-0.05 (-0.04%),,,,,,,,,,,,,,,,,
128,Analog Devices Inc.,ADI,0.181112,121.8,0.00 (0.00%),,,,,,,,,,,,,,,,,
129,Target Corporation,TGT,0.180675,87.12,0.06 (0.07%),,,,,,,,,,,,,,,,,
130,Capital One Financial Corporation,COF,0.180541,98.08,0.00 (0.00%),,,,,,,,,,,,,,,,,
131,Exelon Corporation,EXC,0.17956,46.28,0.46 (1.00%),,,,,,,,,,,,,,,,,
132,Edwards Lifesciences Corporation,EW,0.177592,213,0.15 (0.07%),,,,,,,,,,,,,,,,,
133,L3Harris Technologies Inc,LHX,0.177055,198.6,-1.23 (-0.62%),,,,,,,,,,,,,,,,,
134,American Electric Power Company Inc.,AEP,0.175257,88.95,0.00 (0.00%),,,,,,,,,,,,,,,,,
135,Illumina Inc.,ILMN,0.175058,301,0.10 (0.03%),,,,,,,,,,,,,,,,,
136,Vertex Pharmaceuticals Incorporated,VRTX,0.174108,168,1.17 (0.70%),,,,,,,,,,,,,,,,,
137,Fidelity National Information Services Inc.,FIS,0.171591,138.31,2.70 (1.99%),,,,,,,,,,,,,,,,,
138,Phillips 66,PSX,0.171171,102.32,0.00 (0.00%),,,,,,,,,,,,,,,,,
139,Walgreens Boots Alliance Inc,WBA,0.170605,55.05,0.00 (0.00%),,,,,,,,,,,,,,,,,
140,FedEx Corporation,FDX,0.168361,174.51,-0.43 (-0.25%),,,,,,,,,,,,,,,,,
141,Bank of New York Mellon Corporation,BK,0.167008,47.31,-0.29 (-0.61%),,,,,,,,,,,,,,,,,
142,Prudential Financial Inc.,PRU,0.166769,103.27,0.00 (0.00%),,,,,,,,,,,,,,,,,
143,Estee Lauder Companies Inc. Class A,EL,0.166623,190.87,0.00 (0.00%),,,,,,,,,,,,,,,,,
144,Sherwin-Williams Company,SHW,0.166397,512.3,0.00 (0.00%),,,,,,,,,,,,,,,,,
145,Emerson Electric Co.,EMR,0.165422,66.3,-0.36 (-0.54%),,,,,,,,,,,,,,,,,
146,Equinix Inc.,EQIX,0.165277,488.81,0.00 (0.00%),,,,,,,,,,,,,,,,,
147,Baxter International Inc.,BAX,0.161843,85.15,0.00 (0.00%),,,,,,,,,,,,,,,,,
148,Aflac Incorporated,AFL,0.160689,53.61,-0.28 (-0.52%),,,,,,,,,,,,,,,,,
