Date,Unix,Ticker,Price,stock_p_change,SP500,SP500_p_change,Market Cap,Enterprise Value,Trailing P/E,Forward P/E,PEG Ratio,Price/Sales,Price/Book,Enterprise Value/Revenue,Enterprise Value/EBITDA,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue,Revenue Per Share,Quarterly Revenue Growth,Gross Profit,EBITDA,Net Income Avi to Common,Diluted EPS,Quarterly Earnings Growth,Total Cash,Total Cash Per Share,Total Debt,Total Debt/Equity,Current Ratio,Book Value Per Share,Operating Cash Flow,Levered Free Cash Flow,Beta,50-Day Moving Average,200-Day Moving Average,Avg Vol (3 month),Shares Outstanding,Float,% Held by Insiders,% Held by Institutions,Shares Short,Short Ratio,Short % of Float,Shares Short (prior month
0,0,NILE,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,NKE,0,0,0,0,137169999999.99998,135979999999.99998,35.16,25.82,1.9,3.51,15.18,3.48,24.76,10.3,12.2,12.9,42.74,39120000000.0,24.76,4.0,17470000000.0,5490000000.0,4030000000.0000005,2.49,-13.0,4660000000.0,2.98,3480000000.0,38.48,2.1,5.76,5900000000.0,3010000000.0,1.09,85.65,84.2,6560000.0,1260000000.0,1240000000.0,1.14,83.92,8580000.0,1.29,0.87,8670000.0
0,0,NLY,0,0,0,0,13980000000.0,112790000000.0,,8.81,-6.56,-12.44,0.99,-100.36,,0.0,126.84,-1.93,-14.28,-1120000000.0,-0.88,,442860000.0,,-2250000000.0,-1.77,,855720000.0,0.59,97700000000.0,619.09,0.13,9.67,347000000.0,,0.38,9.23,9.78,15190000.0,1160000000.0,1450000000.0,0.27,54.03,22460000.0,1.7,1.56,23280000.0
0,0,NOC,0,0,0,0,59650000000.0,74570000000.0,18.26,15.74,2.29,1.81,6.48,2.27,14.05,10.11,13.1,7.0,38.12,32890000000.0,191.81,18.8,6820000000.0,5310000000.0,3320000000.0,19.3,9.1,1090000000.0,6.43,16010000000.000002,173.74,1.25,54.42,3880000000.0,1240000000.0,0.88,322.16,292.9,1200000.0,169800000.0,156440000.0,0.54,85.34,2190000.0,3.5,1.45,1690000.0
0,0,NOK,0,0,0,0,31140000000.0,32020000000.000004,,13.95,1.22,,,,,-2.28,0.0,1.75,-3.78,,,7.2,8990000000.0,,,,,,,,36.56,1.34,,,,-0.05,5.11,5.61,23740000.0,,5560000000.0,0.0,6.98,49520000.0,2.76,,57860000.0
0,0,NOV,0,0,0,0,8380000000.000001,10510000000.0,,51.71,-2.49,0.97,0.61,1.22,12.25,-0.47,1.91,0.51,-0.22,8600000000.0,22.7,8.1,1440000000.0,858000000.0,-40000000.0,-0.11,,1270000000.0,3.29,3330000000.0,24.03,3.3,35.67,612000000.0,749750000.0,1.66,21.38,25.58,4450000.0,385930000.0,384600000.0,0.35,96.83,21640000.0,5.36,6.31,19610000.0
0,0,NRG,0,0,0,0,9210000000.0,16340000000.0,21.88,8.66,0.31,0.96,,1.71,10.87,4.92,10.37,3.73,77.26,9580000000.0,32.58,4.8,2370000000.0,1500000000.0,270000000.0,1.58,72.8,874000000.0,3.27,7090000000.0,,1.78,-5.75,900000000.0,828000000.0,0.52,34.99,38.95,3680000.0,267149999.99999997,265750000.0,0.59,102.34,11240000.0,3.14,4.63,12060000.0
0,0,NSC,0,0,0,0,50040000000.0,62110000000.0,18.43,15.75,1.36,4.31,3.27,5.35,11.69,24.15,36.1,7.18,17.59,11610000000.0,43.08,0.9,5090000000.0,5310000000.0,2800000000.0,10.31,1.7,274000000.0,1.04,12340000000.0,80.61,0.78,58.13,3850000000.0,1270000000.0,1.27,196.68,188.77,1630000.0,265970000.00000003,263089999.99999997,0.17,75.91,4300000.0,2.54,1.62,4460000.0
0,0,NTAP,0,0,0,0,14190000000.0,12080000000.0,13.11,10.79,0.87,2.31,13.01,1.97,8.98,19.02,19.25,7.89,69.46,6150000000.0,24.2,-3.2,3940000000.0,1340000000.0,1170000000.0,4.51,36.6,3900000000.0,16.27,1790000000.0,164.49,1.45,4.54,1340000000.0,807120000.0,1.41,60.77,65.49,2440000.0,246980000.0,239420000.0,0.18,99.8,15810000.0,7.61,8.84,16309999.999999998
0,0,NTRI,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
